ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert,hot_abs,hot_rel,hot_thr,normF,calib_phase
1763421853846,0.00015887311,0.00012046208,0.00286414694969,0,0,16777,225,44000,0
1763421853894,0.00018173295,0.00013884334,0.00287206102012,0,0,19191,225,44000,0
1763421853924,0.00018868371,0.00015379545,0.00287713627004,0,0,19925,225,44000,0
1763421853974,0.00019970644,0.00016756875,0.00288300117623,0,0,21089,225,44000,0
1763421854006,0.00020931818,0.00018009358,0.00289020491937,0,0,22104,225,44000,0
1763421854060,0.00022132576,0.00019246323,0.00290098286037,0,0,23372,225,44000,0
1763421854106,0.00022723485,0.00020289472,0.00290747549131,0,0,23996,225,44000,0
1763421854144,0.00023674242,0.00021304903,0.0029168496486,0,0,25000,225,44000,0
1763421854190,0.00025049242,0.00022428205,0.00292940944327,0,0,26452,225,44000,0
1763421854221,0.00024856061,0.00023156562,0.00293681954296,0,0,26248,225,44000,0
1763421854260,0.00024921402,0.00023686014,0.00294439906729,0,0,26317,225,44000,0
1763421854304,0.00025039773,0.00024092141,0.00295307223815,0,0,26442,225,44000,0
1763421854334,0.00024537879,0.00024225863,0.00296324710041,0,0,25912,225,44000,0
1763421854387,0.00024378788,0.0002427174,0.00297635384009,0,0,25744,225,44000,0
1763421854428,0.00024099432,0.00024220048,0.00298410425533,0,0,25449,225,44000,0
1763421854466,0.00024191288,0.0002421142,0.00299330459482,0,0,25546,225,44000,0
1763421854520,0.0002392803,0.00024126403,0.00300826296461,0,0,25268,225,44000,0
1763421854549,0.00023464015,0.00023927687,0.00301591982432,0,0,24778,225,44000,0
1763421854602,0.00022922348,0.00023626085,0.00302442521497,0,0,24206,225,44000,0
1763421854635,0.000226875,0.0002334451,0.00303469679919,0,0,23958,225,44000,0
1763421854683,0.00021970644,0.0002293235,0.00304662162114,0,0,23201,225,44000,0
1763421854717,0.00021168561,0.00022403213,0.00305379064934,0,0,22354,225,44000,0
1763421854768,0.00020986742,0.00021978272,0.00306170282722,0,0,22162,225,44000,0
1763421854805,0.00021201705,0.00021745302,0.003071705666,0,0,22389,225,44000,0
1763421854865,0.00020659091,0.00021419438,0.00308241538524,0,0,21816,225,44000,0
1763421854906,0.00020032197,0.00021003266,0.00309228692026,0,0,21154,225,44000,0
1763421854958,0.00019689394,0.00020609104,0.00310320974559,0,0,20792,225,44000,0
1763421854994,0.00018511364,0.00019979782,0.00311120165846,0,0,19548,225,44000,0
1763421855062,0.00017847538,0.00019340109,0.00312203211943,0,0,18847,225,44000,0
1763421855106,0.00017026515,0.00018646031,0.00313098221419,0,0,17980,225,44000,0
1763421855156,0.0001649053,0.00017999381,0.00314034189212,0,0,17414,225,44000,0
1763421855195,0.00016145833,0.00017443316,0.00314766808502,0,0,17050,225,44000,0
1763421855259,0.00014785038,0.00016645833,0.00315732266808,0,0,15613,225,44000,0
1763421855305,0.00014145833,0.00015895833,0.00316447579294,0,0,14938,225,44000,0
1763421855354,0.00013789773,0.00015264015,0.00317226044055,0,0,14562,225,44000,0
1763421855391,0.00013149621,0.00014629697,0.00317869750715,0,0,13886,225,44000,0
1763421855456,0.00013143939,0.0001418397,0.00318664053011,0,0,13880,225,44000,0
1763421855501,0.00012966856,0.00013818836,0.00319299719446,0,0,13693,225,44000,0
1763421855547,0.0001216572,0.00013322901,0.00319965864485,0,0,12847,225,44000,0
1763421855585,0.00010925189,0.00012603587,0.00320482611567,0,0,11537,225,44000,0
1763421855646,0.00010449811,0.00011957454,0.00321188101372,0,0,11035,225,44000,0
1763421855687,0.00010045455,0.00011383854,0.00321654839403,0,0,10608,225,44000,0
1763421855753,0.0001021875,0.00011034323,0.00322305864464,0,0,10791,225,44000,0
1763421855791,9.749053e-05,0.00010648742,0.00322806355341,0,0,10295,225,44000,0
1763421855841,8.7329545e-05,0.00010074006,0.00323299981626,0,0,9222,225,44000,0
1763421855879,8.3570076e-05,9.5589063e-05,0.00323672778973,0,0,8825,225,44000,0
1763421855945,7.5965909e-05,8.9702117e-05,0.00324219961888,0,0,8022,225,44000,0
1763421855988,7.5369318e-05,8.5402277e-05,0.0032458719168,0,0,7959,225,44000,0
1763421856037,6.6316288e-05,7.9676481e-05,0.0032504134762,0,0,7003,225,44000,0
1763421856067,5.7405303e-05,7.2995127e-05,0.00325296830565,0,0,6062,225,44000,0
1763421856128,5.9034091e-05,6.8806816e-05,0.00325716552145,0,0,6234,225,44000,0
1763421856168,5.5435606e-05,6.4795453e-05,0.00325923897596,0,0,5854,225,44000,0
1763421856198,4.6183712e-05,5.9211931e-05,0.00326154824126,0,0,4877,225,44000,0
1763421856270,4.6998106e-05,5.5547783e-05,0.00326493665606,0,0,4963,225,44000,0
1763421856305,4.1041667e-05,5.1195948e-05,0.00326698449399,0,0,4334,225,44000,0
1763421856366,3.7935606e-05,4.7217846e-05,0.00326981756474,0,0,4006,225,44000,0
1763421856391,3.9232955e-05,4.4822378e-05,0.00327143117036,0,0,4143,225,44000,0
1763421856478,3.1136364e-05,4.0716574e-05,0.00327387416479,0,0,3288,225,44000,0
1763421856509,2.5104167e-05,3.6032852e-05,0.00327574787309,0,0,2651,225,44000,0
1763421856554,2.5132576e-05,3.2762769e-05,0.003277320486,0,0,2654,225,44000,0
1763421856587,2.3191288e-05,2.9891325e-05,0.00327827700838,0,0,2449,225,44000,0
1763421856628,1.7452652e-05,2.6159723e-05,0.00327911411951,0,0,1843,225,44000,0
1763421856657,1.311553e-05,2.2246465e-05,0.00327995948518,0,0,1385,225,44000,0
1763421856720,1.9943182e-05,2.155548e-05,0.00328129592494,0,0,2106,225,44000,0
1763421856754,1.5151515e-05,1.9634291e-05,0.00328192422224,0,0,1600,225,44000,0
1763421856790,1.0662879e-05,1.6942867e-05,0.00328246639399,0,0,1126,225,44000,0
1763421856854,1.0653409e-05,1.505603e-05,0.003283490204,0,0,1125,225,44000,0
1763421856879,8.3901515e-06,1.3056266e-05,0.00328390800452,0,0,886,225,44000,0
1763421856921,7.7083333e-06,1.1451886e-05,0.00328427446488,0,0,814,225,44000,0
1763421856956,6.3825758e-06,9.9310932e-06,0.00328462205314,0,0,674,225,44000,0
1763421857015,6.3920455e-06,8.8693789e-06,0.00328519856277,0,0,675,225,44000,0
1763421857050,4.6306818e-06,7.5977697e-06,0.0032854416914,0,0,489,225,44000,0
1763421857088,3.0208333e-06,6.2246888e-06,0.00328564710613,0,0,319,225,44000,0
1763421857148,0,4.3572822e-06,0.00328592161491,0,0,286,225,44000,0
1763421857189,0,3.0500975e-06,0.00328603141842,0,0,265,225,44000,0
1763421857222,0,2.1350683e-06,0.00328611468608,0,0,225,225,44000,0
1763421857293,0,1.4945478e-06,0.00328619987531,0,0,187,225,44000,0
1763421857325,0,1.0461835e-06,0.00328624904593,0,0,172,225,44000,0
1763421857385,0,7.3232842e-07,0.00328628785934,0,0,77,225,44000,0
1763421857413,0,5.1262989e-07,0.0032863078519,0,0,59,225,44000,0
1763421857485,0,3.5884092e-07,0.0032863297412,0,0,103,225,44000,0
1763421857522,0,2.5118865e-07,0.00328633953755,0,0,40,225,44000,0
1763421857571,0,1.7583205e-07,0.00328634955998,0,0,32,225,44000,0
1763421857602,0,1.2308244e-07,0.00328635349862,0,0,21,225,44000,0
1763421857646,0,8.6157706e-08,0.0032863566003,0,0,101,225,44000,0
1763421857684,0,6.0310394e-08,0.00328635877147,0,0,130,225,44000,0
1763421857736,0,4.2217276e-08,0.00328636130451,0,0,98,225,44000,0
1763421857763,0,2.9552093e-08,0.00328636225017,0,0,184,225,44000,0
1763421857816,0,2.0686465e-08,0.00328636299489,0,0,274,225,44000,0
1763421857848,0,1.4480526e-08,0.00328636360307,0,0,249,225,44000,0
1763421857910,0,1.0136368e-08,0.00328636415043,0,0,262,225,44000,0
1763421857941,3.3996212e-06,1.0269818e-06,0.00328640522971,0,0,359,225,44000,0
1763421858009,5.1231061e-06,2.2558191e-06,0.00328654057885,0,0,541,225,44000,0
1763421858037,5.7859848e-06,3.3148688e-06,0.00328666985874,0,0,611,225,44000,0
1763421858101,6.1458333e-06,4.1641582e-06,0.00328690721575,0,0,649,225,44000,0
1763421858141,5.3219697e-06,4.5115016e-06,0.00328706962981,0,0,562,225,44000,0
1763421858171,5.1799242e-06,4.7120284e-06,0.00328725339892,0,0,547,225,44000,0
